time	mmag
0.000000	-0.9837
0.000681	-0.9985
0.001362	-0.9461
0.002043	-0.4770
0.002724	-0.5095
0.003405	-0.1072
0.004087	0.5088
0.004768	0.2565
0.005449	0.8031
0.006130	0.5678
0.006811	1.0271
0.007492	1.1952
0.008173	1.0259
0.008855	1.9103
0.009536	2.0046
0.010217	2.0251
0.010898	1.9680
0.011579	2.4137
0.012260	2.4946
0.012941	1.7810
0.013622	2.3269
0.014303	2.7049
0.014985	2.3096
0.015666	2.4150
0.016347	2.4366
0.017028	2.5638
0.017709	2.0493
0.018391	2.0040
0.019072	1.9460
0.019753	1.7360
0.020434	1.4117
0.021115	2.0381
0.021796	0.8824
0.022477	2.2460
0.023158	0.8193
0.023839	0.9496
0.024520	0.3461
0.025202	0.5054
0.025883	0.0066
0.026564	-0.5024
0.027245	-0.7696
0.027926	-1.2228
0.028607	-1.5373
0.029288	-1.4920
0.029970	-1.6042
0.030651	-1.1374
0.031332	-2.0170
0.032013	-2.2414
0.032694	-2.1172
0.033375	-2.1518
0.034056	-1.6701
0.034737	-2.1805
0.035418	-2.2523
0.036100	-2.6143
0.036781	-2.3258
0.037462	-2.1743
0.038143	-2.2203
0.038824	-2.1746
0.039505	-2.4986
0.040186	-2.0794
0.040868	-2.1284
0.041549	-1.8597
0.042230	-1.5280
0.042911	-1.4465
0.043592	-1.6970
0.044273	-1.1030
0.044954	-1.0654
0.045635	-0.5419
0.046317	-0.4088
0.046998	-0.5664
0.047679	-0.0150
0.048360	-0.0164
0.049041	0.9191
0.049722	0.3072
0.050403	0.6519
0.051084	1.9483
0.051765	1.3533
0.052447	1.4041
0.053128	1.6847
0.053809	2.1057
0.054490	1.6050
0.055171	2.0196
0.055852	2.5078
0.056534	1.9943
0.057214	2.4335
0.057896	2.7993
0.058577	2.6392
0.059258	3.0758
0.059939	2.2708
0.060620	2.2027
0.061301	2.0871
0.061982	2.0079
0.062663	2.2426
0.063345	1.7435
0.064026	1.6593
0.064707	1.7019
0.065388	1.1166
0.066069	1.2174
0.066750	0.8059
0.067432	0.4912
0.068113	-0.0596
0.068794	0.3666
0.069475	-0.0243
0.070156	-0.1967
0.070837	-0.6348
0.071518	-0.5815
0.072199	-1.1324
0.072880	-1.2016
0.073561	-1.9373
0.074243	-1.4473
0.074924	-2.1892
0.075605	-2.0943
0.076286	-2.3526
0.076967	-2.1227
0.077648	-2.4035
0.078330	-2.2908
0.079011	-2.3260
0.079692	-2.6144
0.080373	-2.3280
0.081054	-2.5889
0.081735	-2.4760
0.082416	-2.5377
0.083097	-2.6665
0.083779	-2.4997
0.084459	-1.6944
0.085141	-2.4068
0.085822	-1.8357
0.086503	-1.6205
0.087184	-1.6632
0.087865	-1.3313
0.088546	-0.6984
0.089227	-0.4883
0.089909	-0.6254
0.090590	-0.2337
0.091271	0.0089
0.091952	0.3426
0.092633	0.4275
0.093314	0.7712
0.093995	1.1362
0.094677	1.3224
0.095358	1.3668
0.096039	1.5854
0.096720	1.5314
0.097401	1.7917
0.098082	1.7797
0.098763	2.2668
0.099444	2.3568
0.100125	2.7797
0.100807	2.2945
0.101488	2.4466
0.102169	2.4108
0.102850	2.6189
0.103531	2.5440
0.104212	2.6402
0.104893	2.4427
0.105575	2.4977
0.106256	2.1695
0.106937	2.1870
0.107618	2.1574
0.108299	1.4749
0.108980	1.3853
0.109661	1.3520
0.110342	0.8273
0.111024	1.0919
0.111705	0.6935
0.112386	0.2351
0.113067	0.3006
0.113748	-0.1059
0.114429	-0.8443
0.115110	-0.8560
0.115791	-0.3802
0.116472	-0.9576
0.117154	-1.6171
0.117835	-1.5095
0.118516	-2.0657
0.119197	-2.0097
0.119878	-2.0611
0.120559	-2.0319
0.121240	-2.8215
0.121922	-2.6139
0.122603	-2.4268
0.123284	-2.5324
0.123965	-2.5770
0.124646	-2.5931
0.125327	-2.3768
0.126008	-2.1961
0.126689	-2.5679
0.127371	-2.3208
0.128052	-1.9354
0.128733	-1.9187
0.129414	-2.2445
0.130095	-2.0594
0.130776	-1.5332
0.131457	-1.2713
0.132138	-1.0930
0.132820	-1.1625
0.133501	-1.0309
0.134182	-0.3522
0.134863	-0.2328
0.135544	-0.0376
0.136225	0.3950
0.136906	0.7046
0.137587	1.0284
0.138269	0.9662
0.138950	1.3215
0.139631	1.3500
0.140312	1.9547
0.140993	2.1900
0.141674	2.1180
0.142355	2.2925
0.143036	2.5906
0.143718	2.2262
0.144399	2.3711
0.145080	2.3380
0.145761	2.1564
0.146442	2.6819
0.147123	2.2091
0.147804	2.7386
0.148485	2.6352
0.149166	2.3049
0.149848	2.2715
0.150529	2.1539
